mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_booster,param_max_depth,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.24099516868591309,0.04340543966783354,0.0225677490234375,0.008457877476310391,gbtree,3,3,"{'booster': 'gbtree', 'max_depth': 3, 'n_estimators': 3}",0.8592634884384813,0.9474585950885208,0.8200514138817481,0.8755948981534362,0.05327719880837384,38,0.9494502356133085,0.9476013706453456,0.9516059957173447,0.9495525339919997,0.0016364808198352954
0.2518206437428792,0.023792868637891398,0.015804052352905273,0.0020939660580926063,gbtree,3,5,"{'booster': 'gbtree', 'max_depth': 3, 'n_estimators': 5}",0.8592634884384813,0.9474585950885208,0.8200514138817481,0.8755948981534362,0.05327719880837384,38,0.9494502356133085,0.9476013706453456,0.9516059957173447,0.9495525339919997,0.0016364808198352954
0.36632418632507324,0.01629445923560039,0.012029250462849935,0.0008383017920905811,gbtree,3,10,"{'booster': 'gbtree', 'max_depth': 3, 'n_estimators': 10}",0.8592634884384813,0.9474585950885208,0.8200514138817481,0.8755948981534362,0.05327719880837384,38,0.9494502356133085,0.9476013706453456,0.9516059957173447,0.9495525339919997,0.0016364808198352954
0.4751282533009847,0.0045328284612796265,0.01135873794555664,0.0018236292840663154,gbtree,3,15,"{'booster': 'gbtree', 'max_depth': 3, 'n_estimators': 15}",0.9471881244647445,0.9474585950885208,0.7609254498714653,0.885208452312964,0.08786260291354697,36,0.9475938883335713,0.9476013706453456,0.9533190578158458,0.9495047722649209,0.00269710890822542
0.6942395369211832,0.061286942451975406,0.018218119939168293,0.006603500161952008,gbtree,3,21,"{'booster': 'gbtree', 'max_depth': 3, 'n_estimators': 21}",0.9457607764773052,0.9474585950885208,0.731505284204513,0.8749286122215877,0.10139625853549981,44,0.9477366842781665,0.9476013706453456,0.953604568165596,0.9496475410297028,0.002798585983486894
0.219037135442098,0.01639449179870772,0.012141704559326172,0.0006939332378099849,gbtree,5,3,"{'booster': 'gbtree', 'max_depth': 5, 'n_estimators': 3}",0.44961461604339137,0.9474585950885208,0.6515281348186233,0.6828478964401294,0.2044608891929694,50,0.9543052977295445,0.9497430039977156,0.9580299785867238,0.9540260934379946,0.0033888988611869906
0.2723863919576009,0.004702610112630107,0.01180116335550944,0.0003729214805132992,gbtree,5,5,"{'booster': 'gbtree', 'max_depth': 5, 'n_estimators': 5}",0.44961461604339137,0.9474585950885208,0.6223936018280491,0.6731391585760518,0.20640011112729895,52,0.9543052977295445,0.9497430039977156,0.958315488936474,0.9541212635545779,0.0035021208754578586
0.5008393923441569,0.016601536482676954,0.012258529663085938,0.0006902644863987007,gbtree,5,10,"{'booster': 'gbtree', 'max_depth': 5, 'n_estimators': 10}",0.545246931201827,0.9474585950885208,0.5735504141673807,0.6887492861222159,0.1832996666300525,48,0.9543052977295445,0.9497430039977156,0.9607423269093505,0.9549302095455369,0.00451214377814131
0.6694608529408773,0.017985978661101944,0.013351202011108398,0.0033344082524416814,gbtree,5,15,"{'booster': 'gbtree', 'max_depth': 5, 'n_estimators': 15}",0.5592349414787325,0.9474585950885208,0.5718366181091117,0.6928421854178565,0.18011447769945588,46,0.9543052977295445,0.9497430039977156,0.9620271234832263,0.9553584750701621,0.005069962837909072
0.969680388768514,0.0630470480418119,0.013043721516927084,0.001203590975580089,gbtree,5,21,"{'booster': 'gbtree', 'max_depth': 5, 'n_estimators': 21}",0.5612332286611476,0.9474585950885208,0.5107112253641817,0.6731391585760518,0.19506662637612096,52,0.9543052977295445,0.9494574528840662,0.9621698786581013,0.955310876423904,0.00523830975589138
0.22538932164510092,0.008802487154030822,0.012646675109863281,0.002163266099093515,gbtree,7,3,"{'booster': 'gbtree', 'max_depth': 7, 'n_estimators': 3}",0.44961461604339137,0.9328954882924043,0.5381319622964867,0.6402055968018275,0.2100942001781977,76,0.9553048693417107,0.953026841804683,0.9617416131334761,0.9566911080932899,0.003690352578961652
0.35112865765889484,0.0038266717719516023,0.012973467508951822,0.0016459361638291117,gbtree,7,5,"{'booster': 'gbtree', 'max_depth': 7, 'n_estimators': 5}",0.44961461604339137,0.9408909194745859,0.5381319622964867,0.6428707405292214,0.21380809195969955,64,0.9553048693417107,0.953026841804683,0.9625981441827266,0.95697661844304,0.004082361742613588
0.6806058883666992,0.0538387488717566,0.011439959208170572,0.00031026935226791987,gbtree,7,10,"{'booster': 'gbtree', 'max_depth': 7, 'n_estimators': 10}",0.5144162146731374,0.9460308395202741,0.480719794344473,0.6470588235294118,0.21185224713122727,56,0.9544480936741396,0.952170188463735,0.9635974304068522,0.9567385708482424,0.004938297876154498
0.9153803189595541,0.017388012520224115,0.011197249094645182,0.00042943399289577483,gbtree,7,15,"{'booster': 'gbtree', 'max_depth': 7, 'n_estimators': 15}",0.5455324007993149,0.9474585950885208,0.42273636103970297,0.6385874738244812,0.22408442412174215,86,0.9544480936741396,0.9518846373500857,0.964739471805853,0.9570240676100261,0.005555083168298518
1.2241709232330322,0.03338202034148964,0.014580488204956055,0.0018525010779162875,gbtree,7,21,"{'booster': 'gbtree', 'max_depth': 7, 'n_estimators': 21}",0.5135598058806737,0.9474585950885208,0.47643530419880037,0.6458214353702646,0.21382748376570532,58,0.9544480936741396,0.9514563106796117,0.964739471805853,0.9568812920532014,0.005689225673166404
