mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.0350804328918457,0.008333945876814899,0.004863739013671875,0.0006118563081476025,3,auto,3,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 3}",0.9474735940622324,0.9474585950885208,0.7723507569265924,0.8891109841995051,0.08254426759336644,25,0.9475938883335713,0.9476013706453456,0.9541755888650963,0.949790282614671,0.0031008812918009504
0.02884817123413086,0.00446799912077712,0.004643042882283528,0.0008912113346249649,3,auto,5,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 5}",0.9474735940622324,0.9474585950885208,0.8366181091116823,0.9105273177232058,0.052250510819018124,16,0.9475938883335713,0.9476013706453456,0.9510349750178444,0.9487434113322536,0.0016203831008099578
0.04127001762390137,0.0017186541594901483,0.004601001739501953,0.00016809203086246057,3,auto,10,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 10}",0.9471881244647445,0.9474585950885208,0.8586118251928021,0.9177612792689891,0.04181616882982944,12,0.9475938883335713,0.9476013706453456,0.9506067094932191,0.9486006561573787,0.0014184972061833355
0.05192939440409342,0.0034568830107360544,0.006502946217854817,0.000704658747515818,3,auto,15,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 15}",0.9474735940622324,0.9474585950885208,0.8788917452156527,0.9246145059965734,0.032323950942037015,9,0.9475938883335713,0.9476013706453456,0.9501784439685939,0.9484579009825035,0.0012166114475558058
0.07637159029642741,0.003158270346743841,0.007528781890869141,0.0003778177029002222,3,auto,21,"{'max_depth': 3, 'max_features': 'auto', 'n_estimators': 21}",0.9474735940622324,0.9474585950885208,0.8700371322479291,0.9216638111555302,0.03649775738275692,11,0.9475938883335713,0.9476013706453456,0.9506067094932191,0.9486006561573787,0.0014184972061833355
0.02090303103129069,0.0015346943172483156,0.003598769505818685,0.0009442551964510512,3,sqrt,3,"{'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 3}",0.9474735940622324,0.9474585950885208,0.8191945158526135,0.9047211117456692,0.06046348486480234,17,0.9475938883335713,0.9476013706453456,0.9510349750178444,0.9487434113322536,0.0016203831008099578
0.02586706479390462,0.002321540338024935,0.004272778828938802,0.0011119631633408993,3,sqrt,5,"{'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 5}",0.9297744790179846,0.9474585950885208,0.8703227649243074,0.9158576051779935,0.03299084143225819,13,0.9488790518349279,0.9476013706453456,0.9506067094932191,0.9490290439911643,0.0012315000697885536
0.04060943921407064,0.0017883139666310106,0.004988272984822591,0.0005387776816402638,3,sqrt,10,"{'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 10}",0.9474735940622324,0.9474585950885208,0.8866038274778635,0.9271844660194175,0.028688700186814096,7,0.9475938883335713,0.9476013706453456,0.9500356887937188,0.9484103159242118,0.0011493162372890103
0.05736319224039713,0.0035315685283331343,0.0069577693939208984,0.0009209739906568912,3,sqrt,15,"{'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 15}",0.9474735940622324,0.9474585950885208,0.8911739502999143,0.928707405292214,0.026534477526555952,4,0.9475938883335713,0.9476013706453456,0.9500356887937188,0.9484103159242118,0.0011493162372890103
0.07278029123942058,0.0007643397795207076,0.009329716364542643,0.0002434993692236222,3,sqrt,21,"{'max_depth': 3, 'max_features': 'sqrt', 'n_estimators': 21}",0.9474735940622324,0.9474585950885208,0.8911739502999143,0.928707405292214,0.026534477526555952,4,0.9475938883335713,0.9476013706453456,0.9500356887937188,0.9484103159242118,0.0011493162372890103
0.020099401473999023,0.0013685029695228617,0.003722508748372396,0.0003618124985596926,3,log2,3,"{'max_depth': 3, 'max_features': 'log2', 'n_estimators': 3}",0.9474735940622324,0.9474585950885208,0.9337332190802627,0.9428897772701313,0.006473280698681855,1,0.9475938883335713,0.9476013706453456,0.9478943611705924,0.9476965400498364,0.00013991400480354178
0.025452216466267902,0.0014545616711156726,0.003907044728597005,0.00018384121861542464,3,log2,5,"{'max_depth': 3, 'max_features': 'log2', 'n_estimators': 5}",0.9294890094204967,0.9474585950885208,0.940588403313339,0.9391776127926899,0.007404059000470444,2,0.9483078680565472,0.9476013706453456,0.9478943611705924,0.9479345332908284,0.00028982178137819994
0.038100878397623696,0.002080066268710005,0.006229718526204427,0.0010763185638802003,3,log2,10,"{'max_depth': 3, 'max_features': 'log2', 'n_estimators': 10}",0.9474735940622324,0.9474585950885208,0.8866038274778635,0.9271844660194175,0.028688700186814096,7,0.9475938883335713,0.9476013706453456,0.9500356887937188,0.9484103159242118,0.0011493162372890103
0.047274510065714516,0.0020334342562991488,0.006454626719156901,0.0007075274321366865,3,log2,15,"{'max_depth': 3, 'max_features': 'log2', 'n_estimators': 15}",0.9474735940622324,0.9474585950885208,0.9025992573550414,0.9325147534742052,0.02114892092320211,3,0.9475938883335713,0.9476013706453456,0.9491791577444683,0.9481248055744617,0.0007455458269149898
0.05992539723714193,0.00022121512826435435,0.008691231409708658,0.0011313334539161434,3,log2,21,"{'max_depth': 3, 'max_features': 'log2', 'n_estimators': 21}",0.9474735940622324,0.9474585950885208,0.8908883176235362,0.9286122215876642,0.02666911644257094,6,0.9475938883335713,0.9476013706453456,0.9498929336188436,0.9483627308659202,0.0010820210549517429
