mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_algorithm,param_metric,param_n_neighbors,param_weights,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,mean_train_score,std_train_score
0.10284805297851562,0.014242609835447631,0.4491399923960368,0.03987434700289885,auto,euclidean,1,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'uniform'}",0.825578075934913,0.9260422615648201,0.8046272493573264,0.8520845231296402,0.05299084562738622,92,0.9817221190918178,0.9761564820102798,0.9757316202712348,0.9778700737911108,0.0027293242904120997
0.07234938939412434,0.0030140943678356653,0.44658541679382324,0.03421097529122445,auto,euclidean,1,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 1, 'weights': 'distance'}",0.825578075934913,0.9260422615648201,0.8046272493573264,0.8520845231296402,0.05299084562738622,92,0.9817221190918178,0.9761564820102798,0.9757316202712348,0.9778700737911108,0.0027293242904120997
0.07523600260416667,0.010792650822729972,0.5808469454447428,0.06405451448950729,auto,euclidean,3,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'uniform'}",0.8821010562375107,0.9408909194745859,0.879463010568409,0.9008185798591282,0.028355882667607028,46,0.9560188490646866,0.9573101085094232,0.9624553890078515,0.9585947821939871,0.0027802939253308836
0.08960803349812825,0.005465235254112474,0.6281236012776693,0.06666960340591457,auto,euclidean,3,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 3, 'weights': 'distance'}",0.8546959748786754,0.9403198172472873,0.8494715795487003,0.8814962878355226,0.04164916394060541,73,0.9824360988147937,0.9800114220445459,0.9847251962883654,0.9823909057159016,0.0019246555912793932
0.09502458572387695,0.000656769607609194,0.5966265996297201,0.07629367337435035,auto,euclidean,5,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'uniform'}",0.896660005709392,0.9423186750428326,0.9065981148243359,0.915191319246145,0.01960631829405783,25,0.9525917463944024,0.950028555111365,0.9551748750892219,0.9525983921983298,0.00210098158863182
0.08898703257242839,0.006038688427022182,0.575721025466919,0.035947730318792656,auto,euclidean,5,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 5, 'weights': 'distance'}",0.8666856979731659,0.9428897772701313,0.8671808054841473,0.8922520464496478,0.0358068533462769,61,0.9852920177066972,0.98043974871502,0.9847251962883654,0.9834856542366941,0.002166175887794552
0.06438207626342773,0.0059728301746241035,0.7127638657887777,0.09446865706502935,auto,euclidean,9,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'uniform'}",0.9234941478732515,0.9437464306110794,0.9214510139960012,0.929564058633162,0.010063079552337529,18,0.9495930315579038,0.950028555111365,0.9524625267665953,0.9506947044786213,0.00126262079891996
0.09642752011617024,0.009102572650214141,0.8236056168874105,0.05192680490028836,auto,euclidean,9,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 9, 'weights': 'distance'}",0.8718241507279475,0.9437464306110794,0.8717509283061983,0.8957738435179897,0.033921754815886794,54,0.9855776095958875,0.9818675042832667,0.9847251962883654,0.9840567700558399,0.0015866769423190394
0.0857090950012207,0.004835745168995241,0.8218825658162435,0.09471301762271982,auto,euclidean,15,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'uniform'}",0.9323437053953754,0.9437464306110794,0.9394458726078263,0.9385113268608414,0.004702122017911499,7,0.9491646437241182,0.9497430039977156,0.9503211991434689,0.9497429489551009,0.0004721617743807853
0.10536670684814453,0.017796566700588788,0.9267098108927408,0.03878704744133573,auto,euclidean,15,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 15, 'weights': 'distance'}",0.8863831001998287,0.9437464306110794,0.8803199085975436,0.903483723586522,0.028577435796575828,40,0.9855776095958875,0.9818675042832667,0.9847251962883654,0.9840567700558399,0.0015866769423190394
0.08540709813435872,0.006823165730060996,0.8809508482615153,0.07966544501171678,auto,euclidean,21,uniform,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'uniform'}",0.9474735940622324,0.9474585950885208,0.9451585261353899,0.9466971254521226,0.001087738256686058,1,0.9480222761673568,0.9491719017704169,0.9486081370449678,0.9486007716609138,0.00046936158304979584
0.09732921918233235,0.012156674535899685,0.9192202885945638,0.03823630358302807,auto,euclidean,21,distance,"{'algorithm': 'auto', 'metric': 'euclidean', 'n_neighbors': 21, 'weights': 'distance'}",0.8866685697973166,0.9474585950885208,0.8817480719794345,0.9052922139729678,0.02988372574369924,31,0.9855776095958875,0.9818675042832667,0.9847251962883654,0.9840567700558399,0.0015866769423190394
0.09583433469136556,0.001838643586013765,1.1221129894256592,0.15497834152945697,auto,manhattan,1,uniform,"{'algorithm': 'auto', 'metric': 'manhattan', 'n_neighbors': 1, 'weights': 'uniform'}",0.7824721667142449,0.924328954882924,0.7123678948871751,0.8063963449457453,0.0881654788711295,105,0.9817221190918178,0.9761564820102798,0.9757316202712348,0.9778700737911108,0.0027293242904120997
